2025-12-03 14:45:06 INFO     read 18400 rules from list.
2025-12-03 14:45:07 INFO     Loaded support_counts from ../data/umls\support_counts.pt
2025-12-03 14:45:07 INFO     Uncertainty modeling initialized: num_rules=18400, num_samples=5, lambda_0=1.0
2025-12-03 14:45:07 INFO     >>>>> ruleE: Pre-training
2025-12-03 14:45:28 INFO     Training average positive_fact_loss at step 0: 2.433976
2025-12-03 14:45:28 INFO     Training average negative_fact_loss at step 0: 0.092595
2025-12-03 14:45:28 INFO     Training average positive_rule_loss at step 0: 0.027360
2025-12-03 14:45:28 INFO     Training average negative_rule_loss at step 0: 3.907675
2025-12-03 14:45:28 INFO     Training average L_uncertainty at step 0: 2862.307617
2025-12-03 14:45:28 INFO     Training average L_kl at step 0: 105.522507
2025-12-03 14:45:28 INFO     Training average L_sigma at step 0: 286220.218750
2025-12-03 14:45:28 INFO     Training average mu_mean at step 0: 0.090784
2025-12-03 14:45:28 INFO     Training average sigma_mean at step 0: 1.040433
2025-12-03 14:45:28 INFO     Training average regularization at step 0: 0.000000
2025-12-03 14:45:28 INFO     Training average loss at step 0: 31.853878
2025-12-03 14:45:28 INFO     Evaluating on Valid Dataset...
2025-12-03 14:45:28 INFO     >>>>> RuleE emb: Evaluating on valid
2025-12-03 14:45:45 INFO     Data : 2612
2025-12-03 14:45:45 INFO     Hit1 : 0.000383
2025-12-03 14:45:45 INFO     Hit3 : 0.049387
2025-12-03 14:45:45 INFO     Hit10: 0.145100
2025-12-03 14:45:45 INFO     MR   : 47.456930
2025-12-03 14:45:45 INFO     MRR  : 0.060514
2025-12-03 14:48:01 INFO     Training average positive_fact_loss at step 100: 0.602459
2025-12-03 14:48:01 INFO     Training average negative_fact_loss at step 100: 0.486636
2025-12-03 14:48:01 INFO     Training average positive_rule_loss at step 100: 0.075886
2025-12-03 14:48:01 INFO     Training average negative_rule_loss at step 100: 3.145428
2025-12-03 14:48:01 INFO     Training average L_uncertainty at step 100: 2203.800545
2025-12-03 14:48:01 INFO     Training average L_kl at step 100: 6216.973753
2025-12-03 14:48:01 INFO     Training average L_sigma at step 100: 219758.362930
2025-12-03 14:48:01 INFO     Training average mu_mean at step 100: -0.355015
2025-12-03 14:48:01 INFO     Training average sigma_mean at step 100: 0.825326
2025-12-03 14:48:01 INFO     Training average regularization at step 100: 0.000000
2025-12-03 14:48:01 INFO     Training average loss at step 100: 24.193210
2025-12-03 14:50:04 INFO     Training average positive_fact_loss at step 200: 0.379000
2025-12-03 14:50:04 INFO     Training average negative_fact_loss at step 200: 0.315509
2025-12-03 14:50:04 INFO     Training average positive_rule_loss at step 200: 0.251376
2025-12-03 14:50:04 INFO     Training average negative_rule_loss at step 200: 1.555139
2025-12-03 14:50:04 INFO     Training average L_uncertainty at step 200: 79.667714
2025-12-03 14:50:04 INFO     Training average L_kl at step 200: 47674.282383
2025-12-03 14:50:04 INFO     Training average L_sigma at step 200: 3199.343008
2025-12-03 14:50:04 INFO     Training average mu_mean at step 200: -1.529283
2025-12-03 14:50:04 INFO     Training average sigma_mean at step 200: 0.170878
2025-12-03 14:50:04 INFO     Training average regularization at step 200: 0.000000
2025-12-03 14:50:04 INFO     Training average loss at step 200: 2.047189
2025-12-03 14:52:12 INFO     Training average positive_fact_loss at step 300: 0.319289
2025-12-03 14:52:12 INFO     Training average negative_fact_loss at step 300: 0.271857
2025-12-03 14:52:12 INFO     Training average positive_rule_loss at step 300: 0.243102
2025-12-03 14:52:12 INFO     Training average negative_rule_loss at step 300: 1.580085
2025-12-03 14:52:12 INFO     Training average L_uncertainty at step 300: 47.439619
2025-12-03 14:52:12 INFO     Training average L_kl at step 300: 47071.291836
2025-12-03 14:52:12 INFO     Training average L_sigma at step 300: 36.832461
2025-12-03 14:52:12 INFO     Training average mu_mean at step 300: -1.493092
2025-12-03 14:52:12 INFO     Training average sigma_mean at step 300: 0.166901
2025-12-03 14:52:12 INFO     Training average regularization at step 300: 0.000000
2025-12-03 14:52:12 INFO     Training average loss at step 300: 1.681563
2025-12-03 14:54:15 INFO     Training average positive_fact_loss at step 400: 0.303290
2025-12-03 14:54:15 INFO     Training average negative_fact_loss at step 400: 0.260415
2025-12-03 14:54:15 INFO     Training average positive_rule_loss at step 400: 0.243377
2025-12-03 14:54:15 INFO     Training average negative_rule_loss at step 400: 1.571355
2025-12-03 14:54:15 INFO     Training average L_uncertainty at step 400: 47.300573
2025-12-03 14:54:15 INFO     Training average L_kl at step 400: 46918.757383
2025-12-03 14:54:15 INFO     Training average L_sigma at step 400: 38.181312
2025-12-03 14:54:15 INFO     Training average mu_mean at step 400: -1.490234
2025-12-03 14:54:15 INFO     Training average sigma_mean at step 400: 0.167050
2025-12-03 14:54:15 INFO     Training average regularization at step 400: 0.000000
2025-12-03 14:54:15 INFO     Training average loss at step 400: 1.662224
2025-12-03 14:56:25 INFO     Training average positive_fact_loss at step 500: 0.295417
2025-12-03 14:56:25 INFO     Training average negative_fact_loss at step 500: 0.254723
2025-12-03 14:56:25 INFO     Training average positive_rule_loss at step 500: 0.243642
2025-12-03 14:56:25 INFO     Training average negative_rule_loss at step 500: 1.561030
2025-12-03 14:56:25 INFO     Training average L_uncertainty at step 500: 47.059759
2025-12-03 14:56:25 INFO     Training average L_kl at step 500: 46713.880078
2025-12-03 14:56:25 INFO     Training average L_sigma at step 500: 34.587681
2025-12-03 14:56:25 INFO     Training average mu_mean at step 500: -1.486712
2025-12-03 14:56:25 INFO     Training average sigma_mean at step 500: 0.167261
2025-12-03 14:56:25 INFO     Training average regularization at step 500: 0.000000
2025-12-03 14:56:25 INFO     Training average loss at step 500: 1.648003
2025-12-03 14:58:29 INFO     Training average positive_fact_loss at step 600: 0.291624
2025-12-03 14:58:29 INFO     Training average negative_fact_loss at step 600: 0.250871
2025-12-03 14:58:29 INFO     Training average positive_rule_loss at step 600: 0.245006
2025-12-03 14:58:29 INFO     Training average negative_rule_loss at step 600: 1.544734
2025-12-03 14:58:29 INFO     Training average L_uncertainty at step 600: 46.836266
2025-12-03 14:58:29 INFO     Training average L_kl at step 600: 46519.188555
2025-12-03 14:58:29 INFO     Training average L_sigma at step 600: 31.707477
